# Copyright 1985-1997 Adobe Systems Incorporated. All rights reserved.
#
# This file and the 14 PostScript(R) AFM files it accompanies may be used, copied, and distributed
# for any purpose and without charge, with or without modification, provided that all copyright
# notices are retained; that the AFM files are not distributed without this file; that all
# modifications to this file or any of the AFM files are prominently noted in the modified
# file(s); and that this paragraph is not modified. Adobe Systems has no responsibility or
# obligation to support the use of the AFM files.
#
# MODIFICATION NOTICE: this file is not an Adobe AFM. It is a derived numeric table extracted from
# Helvetica.afm / Times-Roman.afm as distributed with matplotlib (mpl-data/fonts/pdfcorefonts),
# generated by scripts/gen_font_metrics.py. Only the glyphs chython labels need are kept, and only
# the advance width and bounding box of each.
#
# Generated by scripts/gen_font_metrics.py from Helvetica.afm. Do not hand-edit.
# Units are 1/1000 em. `char` is the character the glyph encodes, or - when it encodes none.
char	name	wx	llx	lly	urx	ury
-	egrave	556	40	-15	516	734
8	eight	556	38	-19	517	703
-	ellipsis	1000	115	0	885	106
-	emacron	556	40	-15	516	684
—	emdash	1000	0	240	1000	313
–	endash	556	0	240	556	313
-	eogonek	556	40	-225	516	538
=	equal	584	39	115	545	390
-	eth	556	35	-15	522	737
!	exclam	278	90	0	187	718
-	exclamdown	333	118	-195	215	523
f	f	278	14	0	262	728
-	fi	500	14	0	434	728
5	five	556	32	-19	514	688
-	fl	500	14	0	432	728
-	florin	556	-11	-207	501	737
4	four	556	25	0	523	703
-	fraction	167	-166	-19	333	703
g	g	556	40	-220	499	538
-	gbreve	556	40	-220	499	731
-	gcommaaccent	556	40	-220	499	822
-	germandbls	611	67	-15	571	728
-	grave	333	14	593	211	734
>	greater	584	48	11	536	495
-	greaterequal	549	26	0	523	674
-	guillemotleft	556	97	108	459	446
-	guillemotright	556	97	108	459	446
-	guilsinglleft	333	88	108	245	446
-	guilsinglright	333	88	108	245	446
h	h	556	65	0	491	718
-	hungarumlaut	333	31	593	409	734
-	hyphen	333	44	232	289	322
i	i	222	67	0	155	718
-	iacute	278	95	0	292	734
-	icircumflex	278	-6	0	285	734
-	idieresis	278	13	0	266	706
-	igrave	278	-13	0	184	734
-	imacron	278	5	0	272	684
-	iogonek	222	-31	-225	183	718
j	j	222	-16	-210	155	718
k	k	500	67	0	501	718
-	kcommaaccent	500	67	-225	501	718
l	l	222	67	0	155	718
-	lacute	222	67	0	264	929
-	lcaron	299	67	0	311	718
-	lcommaaccent	222	67	-225	167	718
<	less	584	48	11	536	495
-	lessequal	549	26	0	523	674
-	logicalnot	584	39	108	545	390
-	lozenge	471	10	0	462	728
-	lslash	222	-20	0	242	718
m	m	833	65	0	769	538
-	macron	333	10	627	323	684
−	minus	584	39	216	545	289
-	mu	556	68	-207	489	523
×	multiply	584	39	0	545	506
n	n	556	65	0	491	538
-	nacute	556	65	0	491	734
-	ncaron	556	65	0	491	734
-	ncommaaccent	556	65	-225	491	538
9	nine	556	42	-19	514	703
-	notequal	549	12	-35	537	551
-	ntilde	556	65	0	491	722
#	numbersign	556	28	0	529	688
o	o	556	35	-14	521	538
-	oacute	556	35	-14	521	734
-	ocircumflex	556	35	-14	521	734
-	odieresis	556	35	-14	521	706
-	oe	944	35	-15	902	538
-	ogonek	333	73	-225	287	0
-	ograve	556	35	-14	521	734
-	ohungarumlaut	556	35	-14	521	734
-	omacron	556	35	-14	521	684
1	one	556	101	0	359	703
-	onehalf	834	43	-19	773	703
-	onequarter	834	73	-19	756	703
-	onesuperior	333	43	281	222	703
-	ordfeminine	370	24	405	346	737
-	ordmasculine	365	25	405	341	737
-	oslash	611	28	-22	537	545
-	otilde	556	35	-14	521	722
p	p	556	58	-207	517	538
-	paragraph	537	18	-173	497	718
(	parenleft	333	68	-207	299	733
)	parenright	333	34	-207	265	733
-	partialdiff	476	13	-38	463	714
%	percent	889	39	-19	850	703
.	period	278	87	0	191	106
·	periodcentered	278	77	190	202	315
