# Copyright 1985-1997 Adobe Systems Incorporated. All rights reserved.
#
# This file and the 14 PostScript(R) AFM files it accompanies may be used, copied, and distributed
# for any purpose and without charge, with or without modification, provided that all copyright
# notices are retained; that the AFM files are not distributed without this file; that all
# modifications to this file or any of the AFM files are prominently noted in the modified
# file(s); and that this paragraph is not modified. Adobe Systems has no responsibility or
# obligation to support the use of the AFM files.
#
# MODIFICATION NOTICE: this file is not an Adobe AFM. It is a derived numeric table extracted from
# Helvetica.afm / Times-Roman.afm as distributed with matplotlib (mpl-data/fonts/pdfcorefonts),
# generated by scripts/gen_font_metrics.py. Only the glyphs chython labels need are kept, and only
# the advance width and bounding box of each.
#
# Generated by scripts/gen_font_metrics.py from Times-Roman.afm. Do not hand-edit.
# Units are 1/1000 em. `char` is the character the glyph encodes, or - when it encodes none.
char	name	wx	llx	lly	urx	ury
-	egrave	444	25	-10	424	678
8	eight	500	56	-14	445	676
-	ellipsis	1000	111	-11	888	100
-	emacron	444	25	-10	424	601
—	emdash	1000	0	201	1000	250
–	endash	500	0	201	500	250
-	eogonek	444	25	-165	424	460
=	equal	564	30	120	534	386
-	eth	500	29	-10	471	686
!	exclam	333	130	-9	238	676
-	exclamdown	333	97	-218	205	467
f	f	333	20	0	383	683
-	fi	556	31	0	521	683
5	five	500	32	-14	438	688
-	fl	556	32	0	521	683
-	florin	500	7	-189	490	676
4	four	500	12	0	472	676
-	fraction	167	-168	-14	331	676
g	g	500	28	-218	470	460
-	gbreve	500	28	-218	470	664
-	gcommaaccent	500	28	-218	470	749
-	germandbls	500	12	-9	468	683
-	grave	333	19	507	242	678
>	greater	564	28	-8	536	514
-	greaterequal	549	26	0	523	666
-	guillemotleft	500	42	33	456	416
-	guillemotright	500	44	33	458	416
-	guilsinglleft	333	63	33	285	416
-	guilsinglright	333	48	33	270	416
h	h	500	9	0	487	683
-	hungarumlaut	333	-3	507	377	678
-	hyphen	333	39	194	285	257
i	i	278	16	0	253	683
-	iacute	278	16	0	290	678
-	icircumflex	278	-16	0	295	674
-	idieresis	278	-9	0	288	623
-	igrave	278	-8	0	253	678
-	imacron	278	6	0	271	601
-	iogonek	278	16	-165	265	683
j	j	278	-70	-218	194	683
k	k	500	7	0	505	683
-	kcommaaccent	500	7	-218	505	683
l	l	278	19	0	257	683
-	lacute	278	19	0	290	890
-	lcaron	344	19	0	347	695
-	lcommaaccent	278	19	-218	257	683
<	less	564	28	-8	536	514
-	lessequal	549	26	0	523	666
-	logicalnot	564	30	108	534	386
-	lozenge	471	13	0	459	724
-	lslash	278	19	0	259	683
m	m	778	16	0	775	460
-	macron	333	11	547	322	601
−	minus	564	30	220	534	286
-	mu	500	36	-218	512	450
×	multiply	564	38	8	527	497
n	n	500	16	0	485	460
-	nacute	500	16	0	485	678
-	ncaron	500	16	0	485	674
-	ncommaaccent	500	16	-218	485	460
9	nine	500	30	-22	459	676
-	notequal	549	12	-31	537	547
-	ntilde	500	16	0	485	638
#	numbersign	500	5	0	496	662
o	o	500	29	-10	470	460
-	oacute	500	29	-10	470	678
-	ocircumflex	500	29	-10	470	674
-	odieresis	500	29	-10	470	623
-	oe	722	30	-10	690	460
-	ogonek	333	62	-165	243	0
-	ograve	500	29	-10	470	678
-	ohungarumlaut	500	29	-10	491	678
-	omacron	500	29	-10	470	601
1	one	500	111	0	394	676
-	onehalf	750	31	-14	746	676
-	onequarter	750	37	-14	718	676
-	onesuperior	300	57	270	248	676
-	ordfeminine	276	4	394	270	676
-	ordmasculine	310	6	394	304	676
-	oslash	500	29	-112	470	551
-	otilde	500	29	-10	470	638
p	p	500	5	-217	470	460
-	paragraph	453	-22	-154	450	662
(	parenleft	333	48	-177	304	676
)	parenright	333	29	-177	285	676
-	partialdiff	476	17	-38	459	710
%	percent	833	61	-13	772	676
.	period	250	70	-11	181	100
·	periodcentered	250	70	199	181	310
-	perthousand	1000	7	-19	994	706
+	plus	564	30	0	534	506
±	plusminus	564	30	0	534	506
q	q	500	24	-217	488	460
?	question	444	68	-8	414	676
-	questiondown	444	30	-218	376	466
"	quotedbl	408	77	431	331	676
-	quotedblbase	444	45	-141	416	102
-	quotedblleft	444	43	433	414	676
-	quotedblright	444	30	433	401	676
‘	quoteleft	333	115	433	254	676
’	quoteright	333	79	433	218	676
-	quotesinglbase	333	79	-141	218	102
-	quotesingle	180	48	431	133	676
r	r	333	5	0	335	460
-	racute	333	5	0	335	678
-	radical	453	2	-60	452	768
-	rcaron	333	5	0	335	674
-	rcommaaccent	333	5	-218	335	460
-	registered	760	38	-14	722	676
-	ring	333	67	512	266	711
s	s	389	51	-10	348	460
-	sacute	389	51	-10	348	678
-	scaron	389	39	-10	350	674
-	scedilla	389	51	-215	348	460
-	scommaaccent	389	51	-218	348	460
-	section	500	70	-148	426	676
;	semicolon	278	80	-141	219	459
7	seven	500	20	-8	449	662
6	six	500	34	-14	468	684
/	slash	278	-9	-14	287	676
 	space	250	0	0	0	0
-	sterling	500	12	-8	490	676
-	summation	600	15	-10	585	706
t	t	278	13	-10	279	579
-	tcaron	326	13	-10	318	722
-	tcommaaccent	278	13	-218	279	579
-	thorn	500	5	-217	470	683
3	three	500	43	-14	431	676
-	threequarters	750	15	-14	718	676
-	threesuperior	300	15	262	291	676
-	tilde	333	1	532	331	638
-	trademark	980	30	256	957	662
2	two	500	30	0	475	676
-	twosuperior	300	1	270	296	676
u	u	500	9	-10	479	450
-	uacute	500	9	-10	479	678
-	ucircumflex	500	9	-10	479	674
-	udieresis	500	9	-10	479	623
-	ugrave	500	9	-10	479	678
-	uhungarumlaut	500	9	-10	501	678
-	umacron	500	9	-10	479	601
_	underscore	500	0	-125	500	-75
-	uogonek	500	9	-155	487	450
-	uring	500	9	-10	479	711
v	v	500	19	-14	477	450
w	w	722	21	-14	694	450
x	x	500	17	0	479	450
y	y	500	14	-218	475	450
-	yacute	500	14	-218	475	678
-	ydieresis	500	14	-218	475	623
-	yen	500	-53	0	512	662
z	z	444	27	0	418	450
-	zacute	444	27	0	418	678
-	zcaron	444	27	0	418	674
-	zdotaccent	444	27	0	418	623
0	zero	500	24	-14	476	676
